"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"SPICEMODEL";"SPICEPREFIX";
"RFFUSE";"0.4 A";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";"";"";"";"";"";"";"";
"SENSBUCKFUSE";"2A";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";"";"";"";"";"";"";"";
"U$1";"4700PF";"4700PF";"Y2_CAP";"";"";"";"";"";"";"";"";"";
"U$3";"4700PF";"4700PF";"Y2_CAP";"";"";"";"";"";"";"";"";"";
"U$4";"4700PF";"4700PF";"Y2_CAP";"";"";"";"";"";"";"";"";"";
"U$5";"4700PF";"4700PF";"Y2_CAP";"";"";"";"";"";"";"";"";"";
"U$7";"4700PF";"4700PF";"Y2_CAP";"";"";"";"";"";"";"";"";"";
"U$8";"4700PF";"4700PF";"Y2_CAP";"";"";"";"";"";"";"";"";"";
"VARBUCKFUSE";"2A";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";"";"";"";"";"";"";"";
"VARBUCKPROTECTDIODE";"SL44HE3";"SL44HE3";"SMC";"";"";"";"";"";"";"";"";"";
"VARMP";"15-31-1026";"15-31-1026";"15311026";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"15mm";"Molex";"15-31-1026";"538-15-31-1026";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-15-31-1026";"";"";
"VARMPFUSE";"0.7 A";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";"";"";"";"";"";"";"";
